nconst,primaryName,avgRating,titlesCount
nm3103126,Michael Mando,9.62,5
nm1169501,Hiroshi Tsuchida,9.6,7
nm1336699,Jirô Saitô,9.52,9
nm0034843,Kinryû Arimoto,9.51,5
nm0065292,Tony Beck,9.49,8
nm3277945,Shiori Mikami,9.48,5
nm2095800,Marina Inoue,9.46,24
nm1063029,Kishô Taniyama,9.45,20
nm3426369,Yui Ishikawa,9.43,29
nm2049893,Yû Kobayashi,9.43,9
nm1091445,Masahiko Tanaka,9.42,5
nm0781533,Rhea Seehorn,9.41,7
nm1328775,Daisuke Ono,9.4,9
nm2893431,Yoshimasa Hosoya,9.39,18
nm0620017,Kazuya Nakai,9.36,6
nm2770525,Kenshô Ono,9.36,10
nm0386286,Hiroaki Hirata,9.36,5
nm1513684,Colleen Clinkenbeard,9.35,12
nm0657139,Romi Park,9.33,18
nm1683003,Hiro Shimono,9.33,20
nm0648768,Masaya Matsukaze,9.33,7
nm0436778,Hiroshi Kamiya,9.33,16
nm2569233,Yûki Kaji,9.31,34
nm4868981,Manami Numakura,9.27,10
nm0468729,Takehito Koyasu,9.27,18
nm0292182,Laura Fraser,9.19,13
nm7165060,Jack Alcott,9.18,5
nm0198366,Tony Dalton,9.16,5
nm1204760,Kevin Alejandro,9.1,7
nm1328859,Kenjiro Tsuda,9.08,5
nm4785118,Ayane Sakura,9.08,17
nm0645500,Akemi Okamura,9.04,6
nm7645092,Toshiki Masuda,9.04,8
nm1047883,Dominic Fumusa,9.04,5
nm0322416,Jack Gleeson,9.01,8
nm1684869,Troy Baker,8.99,5
nm0264579,Patrick Fabian,8.97,6
nm1072611,JB Blanc,8.94,8
nm1336827,Betsy Brandt,8.94,63
nm2666409,RJ Mitte,8.94,63
nm1566139,Tsuguo Mogami,8.92,5
nm0644022,Bob Odenkirk,8.92,57
nm0523180,Yuri Lowenthal,8.92,6
nm2366374,Steven Michael Quezada,8.9,24
nm4986852,Ayumu Murase,8.9,7
nm0348152,Anna Gunn,8.89,65
nm0078925,Eve Best,8.87,9
nm12853749,Peter Claffey,8.84,7
nm0516003,Harry Lloyd,8.83,12
nm5137121,Natsuki Hanae,8.81,16
nm0849028,Mayumi Tanaka,8.8,11
nm0182345,David Costabile,8.79,10
nm0001291,Rupert Graves,8.77,5
nm0052186,Jonathan Banks,8.75,44
nm5157463,Clifford Chapin,8.74,5
nm1648520,Katie Leung,8.7,6
nm3882611,Finn Bennett,8.69,7
nm0666739,Aaron Paul,8.69,73
nm1584487,Bertie Carvel,8.68,6
nm0636046,Nolan North,8.68,6
nm0265610,Michelle Fairley,8.66,30
nm0754526,Christopher Sabat,8.65,8
nm0203801,Karl Davies,8.64,5
nm0682386,Jeffrey Pierce,8.62,5
nm0606487,Dean Norris,8.61,70
nm0928795,Michael Shamus Wiles,8.6,5
nm0318821,Aidan Gillen,8.6,48
nm1835523,Adam Nagaitis,8.59,8
nm6854116,Milly Alcock,8.58,5
nm6917958,Emily Carey,8.58,5
nm0412628,Mitsuo Iwata,8.58,5
nm11274700,Dexter Sol Ansell,8.56,8
nm3592338,Emilia Clarke,8.56,68
nm0283492,Jerome Flynn,8.54,7
nm5649091,Shaun Thomas,8.54,7
nm7140802,Gaten Matarazzo,8.5,42
nm0411167,Unshô Ishizuka,8.5,7
nm5160895,Caleb McLaughlin,8.5,42
nm0482851,Phil LaMarr,8.49,5
nm3849842,Sophie Turner,8.49,44
nm3229685,Kit Harington,8.48,69
nm0663177,Chris Parnell,8.48,7
nm0322513,Iain Glen,8.47,30
nm0186505,Bryan Cranston,8.46,84
nm3081796,Steven Yeun,8.46,16
nm0396924,Carice van Houten,8.46,29
nm0372176,Lena Headey,8.43,72
nm8458664,Emma D'Arcy,8.42,11
nm0534635,Richard Madden,8.42,19
nm0184086,Christopher Cousins,8.41,12
nm6450743,Zach Aguilar,8.4,5
nm0209496,John de Lancie,8.4,5
nm0227759,Peter Dinklage,8.39,75
nm8165602,Bella Ramsey,8.38,13
nm0654295,Alfie Allen,8.36,22
nm0182666,Nikolaj Coster-Waldau,8.36,63
nm3652842,Isaac Hempstead Wright,8.36,14
nm0728795,Paul Ritter,8.36,5
nm5481013,Kaito Ishikawa,8.36,5
nm0000122,Charles Chaplin,8.35,5
nm1754059,Natalie Dormer,8.35,24
nm3586035,Maisie Williams,8.35,33
nm6390427,Charlie Heaton,8.34,45
nm0226820,Stephen Dillane,8.33,24
nm6907855,Noah Schnapp,8.33,36
nm3958526,Daniel Ings,8.32,10
nm2772105,Oona Chaplin,8.32,5
nm0757327,Takahiro Sakurai,8.32,6
nm8844328,Fabien Frankel,8.31,15
nm3034501,Natalia Dyer,8.31,45
nm0890055,Indira Varma,8.31,11
nm4263213,John Bradley,8.31,14
nm5584750,Sadie Sink,8.29,36
nm0175834,Kevin Conroy,8.29,5
nm0192377,Liam Cunningham,8.28,49
nm0235960,Robin Atkin Downes,8.28,8
nm0997115,Miyu Irino,8.28,5
nm0002064,Giancarlo Esposito,8.27,52
nm6016511,Finn Wolfhard,8.27,48
nm3480246,Ella Purnell,8.27,8
nm0384152,Conleth Hill,8.25,10
nm0869750,Steve Toussaint,8.22,13
nm5611121,Millie Bobby Brown,8.22,48
nm2765916,Matthew Needham,8.22,13
nm0256237,Michael Emerson,8.21,5
nm0156928,Minoru Chiaki,8.2,5
nm0546797,Mark Margolis,8.18,13
nm2804503,Matt Jones,8.17,13
nm0001536,Toshirô Mifune,8.17,7
nm0619938,Tatsuya Nakadai,8.17,6
nm4858403,Nobunaga Shimazaki,8.17,5
nm5724719,Achyuth Kumar,8.16,5
nm0002128,Tess Harper,8.15,6
nm0001652,John Ratzenberger,8.14,7
nm0793766,Takashi Shimura,8.13,9
nm0217221,Grey DeLisle,8.13,7
nm0593775,Thomas Mitchell,8.12,5
nm0120648,Cara Buono,8.12,11
nm2131630,Jefferson Hall,8.11,9
nm0916073,Danny Webb,8.1,11
nm0000027,Alec Guinness,8.09,7
nm0534856,Madhavan,8.09,7
nm2129662,Cristin Milioti,8.06,6
nm0725543,Don Rickles,8.06,5
nm0451379,Akshaye Khanna,8.06,5
nm0001647,Claude Rains,8.05,6
nm0960033,Akio Ôtsuka,8.05,6
nm0000071,James Stewart,8.04,11
nm0149950,Sarah Chalke,8.04,6
nm0190441,Raymond Cruz,8.03,6
nm1546196,Matt Berry,8.02,5
nm0355910,Michael C. Hall,8.01,15
nm0000434,Mark Hamill,8.01,14
nm0000996,LeVar Burton,8.01,7
nm0945290,Kôichi Yamadera,8.01,7
nm0174403,Kerry Condon,8.0,6
nm1126340,Ryûnosuke Kamiki,8.0,6
nm0224007,John DiMaggio,7.99,11
nm4043111,Vijay Sethupathi,7.99,7
nm0000955,Ward Bond,7.98,5
nm0000048,Peter Lorre,7.96,5
nm0001330,Sterling Hayden,7.96,5
nm0342458,Nikolay Grinko,7.96,5
nm0000373,Michael Dorn,7.96,8
nm0574615,Graham McTavish,7.95,18
nm2179180,Rutina Wesley,7.95,6
nm1092086,David Harbour,7.95,58
nm8087548,Christian Convery,7.95,9
nm3929195,Erin Moriarty,7.94,5
nm1817670,Katherine Parkinson,7.94,5
nm0000213,Winona Ryder,7.93,63
nm0677944,Alistair Petrie,7.92,5
nm0001589,Michael Palin,7.92,8
nm0191044,Michael Cudlitz,7.92,5
nm0621937,Nassar,7.92,6
nm1741002,Matt Smith,7.92,23
nm0000007,Humphrey Bogart,7.91,8
nm0953882,David Zayas,7.91,11
nm3091777,Josh Brener,7.9,5
nm2976580,Jessie Buckley,7.9,15
nm0089707,Steve Blum,7.9,8
nm0309693,Mark Gatiss,7.9,9
nm1269983,Krysten Ritter,7.89,18
nm0000018,Kirk Douglas,7.88,5
nm6077951,Tom Glynn-Carney,7.88,8
nm1970465,Kristofer Hivju,7.88,9
nm0001321,Richard Harris,7.88,5
nm2573928,Kana Hanazawa,7.88,6
nm0001097,Charles Dance,7.88,44
nm0904967,Luna Lauren Velez,7.87,6
nm0851317,Fred Tatasciore,7.86,7
nm0009918,Amy Acker,7.86,5
nm0004692,Mark Addy,7.85,12
nm0778831,Andrew Scott,7.85,12
nm0000493,Jack Lemmon,7.84,6
nm0000006,Ingrid Bergman,7.84,5
nm0809613,Phyllis Smith,7.84,5
nm0007102,Tabu,7.84,7
nm2003700,Chace Crawford,7.83,5
nm0370677,Megumi Hayashibara,7.83,8
nm0000080,Orson Welles,7.82,5
nm0448204,Maria Doyle Kennedy,7.82,5
nm0001832,Sam Waterston,7.82,6
nm0687146,Jesse Plemons,7.81,34
nm1775091,Danai Gurira,7.81,6
nm2148911,Wunmi Mosaku,7.81,7
nm0324658,Walton Goggins,7.8,12
nm0000402,Carrie Fisher,7.8,8
nm0000314,Charles Bronson,7.8,5
nm0001521,Mary McDonnell,7.8,8
nm4417069,Yami Gautam,7.8,6
nm0175916,Paddy Considine,7.8,24
nm1214435,Charlie Cox,7.8,5
nm4420495,Sonoya Mizuno,7.79,18
nm0926165,Mae Whitman,7.79,5
nm2205243,Jeremy Bobb,7.78,5
nm6180088,Young Mazino,7.78,5
nm0000538,Colm Meaney,7.78,9
nm0001727,Robert Shaw,7.78,5
nm0000026,Cary Grant,7.77,9
nm0564920,Rory McCann,7.77,6
