startYear,avgRating,moviesCount
1948,7.6,22
1950,7.62,20
1953,7.3,31
1954,7.5,25
1955,7.39,34
1956,7.31,24
1957,7.69,26
1958,7.24,28
1959,7.52,29
1960,7.49,31
1961,7.35,28
1962,7.7,35
1963,7.25,33
1964,7.31,40
1965,7.27,36
1966,7.15,38
1967,7.31,39
1968,7.29,37
1969,7.39,30
1970,7.12,38
1971,7.21,50
1972,7.17,43
1973,7.36,50
1974,7.14,47
1975,7.35,41
1976,7.2,50
1977,7.13,54
1978,6.99,53
1979,7.1,53
1980,6.84,75
1981,6.8,70
1982,6.85,70
1983,6.71,67
1984,6.76,83
1985,6.75,102
1986,6.68,103
1987,6.72,112
1988,6.61,128
1989,6.54,107
1990,6.55,119
1991,6.62,115
1992,6.65,132
1993,6.73,142
1994,6.55,157
1995,6.66,159
1996,6.51,167
1997,6.57,172
1998,6.66,177
1999,6.6,193
2000,6.45,203
2001,6.54,221
2002,6.5,238
2003,6.5,226
2004,6.6,271
2005,6.51,277
2006,6.49,322
2007,6.49,329
2008,6.44,332
2009,6.41,333
2010,6.49,322
2011,6.45,352
2012,6.43,340
2013,6.49,378
2014,6.47,400
2015,6.49,369
2016,6.54,393
2017,6.4,388
2018,6.44,420
2019,6.49,391
2020,6.16,310
2021,6.38,343
2022,6.41,377
2023,6.39,371
2024,6.33,317
2025,6.27,282
2026,6.19,44
