startYear,primaryTitle,averageRating,numVotes,rank
1915,The Birth of a Nation,6.1,28269,1
1916,Intolerance,7.6,17946,1
1919,Broken Blossoms,7.2,11782,1
1920,The Cabinet of Dr. Caligari,8.0,76170,1
1921,The Kid,8.2,145525,1
1922,Nosferatu,7.8,123275,1
1923,Safety Last!,8.1,24821,1
1924,Sherlock Jr.,8.1,65629,1
1925,The Gold Rush,8.1,128059,1
1926,The General,8.1,106174,1
1927,Metropolis,8.2,201027,1
1928,The Passion of Joan of Arc,8.1,68127,1
1929,Man with a Movie Camera,8.3,30331,1
1930,All Quiet on the Western Front,8.1,72076,1
1931,City Lights,8.5,216273,1
1932,I Am a Fugitive from a Chain Gang,8.2,15732,1
1933,King Kong,7.9,95868,1
1934,It Happened One Night,8.1,119698,1
1935,Bride of Frankenstein,7.8,58996,1
1936,Modern Times,8.5,284989,1
1937,Make Way for Tomorrow,8.1,10607,1
1938,The Adventures of Robin Hood,7.9,57750,1
1939,Gone with the Wind,8.2,356320,1
1940,The Great Dictator,8.4,259278,1
1941,Citizen Kane,8.2,493375,1
1942,Casablanca,8.5,654996,1
1943,The Ox-Bow Incident,8.0,27228,1
1944,Double Indemnity,8.3,181132,1
1945,Children of Paradise,8.3,22510,1
1946,It's a Wonderful Life,8.6,554227,1
1947,Miracle on 34th Street,7.9,61028,1
1948,Bicycle Thieves,8.2,192489,1
1949,Late Spring,8.2,21504,1
1950,Sunset Boulevard,8.4,260916,1
1951,A Christmas Carol,8.1,29142,1
1952,Singin' in the Rain,8.3,282267,1
1953,Tokyo Story,8.1,77540,1
1954,Seven Samurai,8.6,401302,1
1955,Pather Panchali,8.2,41560,1
1956,Aparajito,8.2,19513,1
1957,12 Angry Men,9.0,982398,1
1958,Vertigo,8.2,458961,1
1959,The Human Condition I: No Greater Love,8.5,11162,1
1960,Psycho,8.5,784366,1
1961,Judgment at Nuremberg,8.3,96895,1
1962,Harakiri,8.6,90798,1
1963,High and Low,8.4,71397,1
1964,Woman in the Dunes,8.4,25432,1
1965,Operation 'Y' & Other Shurik's Adventures,8.4,16430,1
1966,"The Good, the Bad and the Ugly",8.8,890284,1
1967,Samurai Rebellion,8.3,15602,1
1968,Once Upon a Time in the West,8.5,383804,1
1969,The Diamond Arm,8.2,17906,1
1970,Woodstock,8.1,19454,1
1971,Gentlemen of Fortune,8.3,14198,1
1972,The Godfather,9.2,2222766,1
1973,My Dear Brother,8.6,11208,1
1974,The Godfather Part II,9.0,1493229,1
1975,The Chaos Class,9.1,46127,1
1976,Tosun Pasha,8.9,26346,1
1977,"Saban, Son of Saban",8.7,19990,1
1978,Happy Days,8.7,12959,1
1979,Alien,8.5,1062529,1
1980,Star Wars: Episode V - The Empire Strikes Back,8.7,1502414,1
1981,Raiders of the Lost Ark,8.4,1109029,1
1982,The Marathon Family,8.8,18177,1
1983,Star Wars: Episode VI - Return of the Jedi,8.3,1207782,1
1984,Stop Making Sense,8.7,24070,1
1985,Shoah,8.7,11578,1
1986,Aliens,8.4,839793,1
1987,Nayakan,8.6,27815,1
1988,Grave of the Fireflies,8.5,384137,1
1989,Indiana Jones and the Last Crusade,8.2,862961,1
1990,GoodFellas,8.7,1389150,1
1991,The Silence of the Lambs,8.6,1720274,1
1992,Baraka,8.5,43110,1
1993,Ramayana: The Legend of Prince Rama,9.1,17696,1
1994,The Shawshank Redemption,9.3,3182597,1
1995,Seven,8.6,2017058,1
1996,"Pretty Village, Pretty Flame",8.6,18997,1
1997,Life Is Beautiful,8.6,811726,1
1998,Saving Private Ryan,8.6,1636055,1
1999,Fight Club,8.8,2601788,1
2000,A Dog's Will,8.6,21529,1
2001,The Lord of the Rings: The Fellowship of the Ring,8.9,2203201,1
2002,The Lord of the Rings: The Two Towers,8.8,1954056,1
2003,The Lord of the Rings: The Return of the King,9.0,2161473,1
2004,Black Friday,8.4,25754,1
2005,Earthlings,8.6,20512,1
2006,Kill Bill: The Whole Bloody Affair,8.8,36691,1
2007,Like Stars on Earth,8.3,231788,1
2008,The Dark Knight,9.1,3161863,1
2009,Home,8.5,23523,1
2010,Inception,8.8,2811565,1
2011,The Phantom of the Opera at the Royal Albert Hall,8.8,10825,1
2012,Django Unchained,8.5,1879790,1
2013,Drishyam,8.4,48054,1
2014,Interstellar,8.7,2521416,1
2015,Thani Oruvan,8.4,24137,1
2016,Mirror Game,8.9,30968,1
2017,Coco,8.4,705108,1
2018,C/o Kancharapalem,8.8,10785,1
2019,Parasite,8.5,1160250,1
2020,Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,8.7,18596,1
2021,The Silence of Swastika,8.9,10672,1
2022,777 Charlie,8.7,47474,1
2023,12th Fail,8.7,170840,1
2024,Attack on Titan the Movie: The Last Attack,9.1,27414,1
2025,Mission Muh Dikhayi,8.7,10654,1
2026,Dhurandhar The Revenge,8.5,48057,1
