decade,genre,moviesCount,avgRating,rank
1980,Drama,409,7.08,1
1980,Comedy,387,6.6,2
1980,Action,201,6.47,3
1980,Crime,184,6.74,4
1980,Adventure,179,6.65,5
1990,Drama,876,6.9,1
1990,Comedy,674,6.44,2
1990,Crime,387,6.71,3
1990,Action,365,6.28,4
1990,Romance,296,6.67,5
2000,Drama,1525,6.83,1
2000,Comedy,1079,6.23,2
2000,Action,618,6.34,3
2000,Crime,616,6.61,4
2000,Romance,556,6.46,5
2010,Drama,2207,6.68,1
2010,Comedy,1234,6.35,2
2010,Action,1038,6.31,3
2010,Crime,725,6.55,4
2010,Thriller,667,6.24,5
2020,Drama,1119,6.49,1
2020,Action,631,6.18,2
2020,Comedy,624,6.28,3
2020,Thriller,398,6.09,4
2020,Crime,384,6.37,5
