primaryName,avgRating,filmsCount,qualityIndex
Woody Allen,6.89,54,372.06
Stephen King,6.26,57,356.82
Luc Besson,6.33,46,291.18
Jack Kirby,6.85,40,274.0
Stan Lee,6.9,39,269.1
Ben Hecht,7.34,31,227.54
William Shakespeare,7.06,31,218.86
John Hughes,6.33,32,202.56
David Koepp,6.51,31,201.81
Bob Kane,6.74,28,188.72
Akira Kurosawa,7.73,24,185.52
Billy Wilder,7.46,24,179.04
Ethan Coen,7.04,25,176.0
Ian Fleming,6.75,26,175.5
Joel Coen,7.19,24,172.56
Sylvester Stallone,6.46,24,155.04
George Lucas,7.22,21,151.62
Terry Rossio,6.69,22,147.18
Robert Mark Kamen,6.39,23,146.97
Anurag Kashyap,7.58,19,144.02
Ritesh Shah,6.81,21,143.01
Pedro Almodóvar,7.15,20,143.0
Oliver Stone,7.08,20,141.6
William Goldman,6.98,20,139.6
Paul Schrader,6.85,20,137.0
John Carpenter,5.9,23,135.7
Anders Thomas Jensen,7.12,19,135.28
Brian Helgeland,6.6,20,132.0
Hayao Miyazaki,7.72,17,131.24
David Mamet,6.83,19,129.77
Robert Towne,6.75,19,128.25
Michael Crichton,6.41,20,128.2
Ted Elliott,6.72,19,127.68
Ingmar Bergman,7.88,16,126.08
Quentin Tarantino,7.84,16,125.44
Dan O'Bannon,6.58,19,125.02
Guillermo del Toro,6.94,18,124.92
Joe Shuster,6.57,19,124.83
Jerry Siegel,6.57,19,124.83
Bill Finger,6.81,18,122.58
Roman Polanski,7.21,17,122.57
John Huston,7.54,16,120.64
Eric Roth,6.99,17,118.83
Francis Ford Coppola,6.97,17,118.49
Tony Gilroy,6.91,17,117.47
Farhad Samji,4.87,24,116.88
Werner Herzog,7.29,16,116.64
Wes Craven,5.81,20,116.2
Hideo Oguni,7.71,15,115.65
Steven Zaillian,7.21,16,115.36
Richard Linklater,7.17,16,114.72
Charles Dickens,7.11,16,113.76
John Logan,6.69,17,113.73
Pat Proft,5.65,20,113.0
Peter Jackson,7.51,15,112.65
Akiva Goldsman,6.21,18,111.78
Steven Knight,6.48,17,110.16
Richard Maibaum,6.88,16,110.08
David S. Goyer,6.46,17,109.82
Harold Ramis,6.46,17,109.82
Richard LaGravenese,6.85,16,109.6
James Cameron,7.2,15,108.0
Lowell Ganz,6.31,17,107.27
Babaloo Mandel,6.31,17,107.27
Jean-Claude Carrière,7.14,15,107.1
Gérard Brach,7.14,15,107.1
Bill Peet,7.14,15,107.1
James Vanderbilt,6.3,17,107.1
Ryûzô Kikushima,7.59,14,106.26
Richard Matheson,6.61,16,105.76
Aditya Chopra,6.49,16,103.84
Richard Curtis,6.87,15,103.05
Adam Sandler,5.41,19,102.79
Noah Baumbach,6.81,15,102.15
Larry Lieber,7.29,14,102.06
Walter Hill,6.79,15,101.85
