startYear,highRatedCount,avgRating
1980,8,8.35
1981,2,8.35
1982,8,8.18
1983,4,8.23
1984,7,8.33
1985,5,8.46
1986,7,8.14
1987,6,8.22
1988,8,8.19
1989,2,8.15
1990,4,8.27
1991,8,8.26
1992,8,8.19
1993,7,8.46
1994,11,8.44
1995,13,8.22
1996,8,8.15
1997,10,8.18
1998,12,8.16
1999,11,8.26
2000,10,8.23
2001,10,8.22
2002,11,8.31
2003,15,8.21
2004,18,8.15
2005,13,8.15
2006,14,8.21
2007,12,8.08
2008,11,8.22
2009,10,8.24
2010,13,8.19
2011,13,8.21
2012,15,8.19
2013,17,8.14
2014,26,8.13
2015,20,8.13
2016,23,8.21
2017,10,8.15
2018,22,8.31
2019,25,8.23
2020,14,8.22
2021,23,8.27
2022,18,8.28
2023,13,8.24
2024,16,8.31
2025,11,8.25
2026,1,8.8
