region,avgRating,moviesCount
TJ,7.38,17
QA,7.25,10
IR,7.22,1047
PA,7.11,232
CM,7.08,38
BJ,7.07,21
BE,7.05,1482
DO,7.04,41
KG,7.03,47
LB,7.03,31
AZ,7.02,1436
CU,7.0,92
ME,6.99,89
BY,6.98,211
GE,6.97,306
UZ,6.96,1875
BD,6.95,124
TN,6.94,37
DZ,6.93,54
MA,6.92,36
IS,6.92,406
CG,6.91,15
SV,6.9,35
KZ,6.89,1781
TM,6.88,13
MZ,6.88,17
NO,6.86,4668
KR,6.86,3329
MK,6.85,284
CN,6.85,4610
GT,6.84,47
DK,6.83,5503
UY,6.83,3588
BF,6.82,14
PR,6.82,70
NZ,6.81,3221
CH,6.81,545
PY,6.8,45
IE,6.79,3499
PK,6.79,99
JM,6.79,75
AT,6.78,3288
AM,6.78,41
MY,6.78,241
LU,6.78,142
AL,6.77,299
SI,6.76,4139
SK,6.75,4389
SN,6.73,18
FI,6.73,6734
CR,6.73,94
HR,6.71,5610
AE,6.7,3710
BO,6.69,99
NL,6.69,6677
NG,6.68,59
SE,6.68,9052
EC,6.68,7380
VE,6.67,1775
RO,6.67,6971
LI,6.67,22
SG,6.66,6087
CL,6.66,2861
ID,6.65,3484
HK,6.64,8372
PE,6.64,4037
CZ,6.63,6010
EG,6.63,7332
LV,6.63,3365
LT,6.62,6835
RS,6.62,7676
AR,6.62,9103
TW,6.62,9368
BG,6.62,8238
GR,6.61,9588
CO,6.61,2293
TH,6.6,6810
IL,6.59,8996
TR,6.59,9346
PL,6.59,10738
HU,6.59,10247
JP,6.59,11300
US,6.58,12250
AU,6.58,11938
FR,6.58,11462
PT,6.58,9749
UA,6.58,8759
CA,6.58,12075
IT,6.58,11177
GB,6.58,12233
IN,6.58,10107
BR,6.58,11337
DE,6.57,11725
MX,6.57,9969
ES,6.57,11159
PH,6.56,6088
VN,6.55,6367
RU,6.53,10462
ZA,6.53,10011
MN,6.53,20
EE,6.5,7004
BA,6.46,499
MD,6.36,61
SA,6.23,50
