primaryName,avgRating,totalVotes,filmsCount
Scarlett Johansson,6.97,26438602,49
Samuel L. Jackson,6.56,24291040,87
Robert Downey Jr.,7.02,22848229,42
Brad Pitt,7.16,21709881,46
Chris Evans,6.87,20607754,33
Mark Ruffalo,7.12,20266861,36
Morgan Freeman,6.65,20137295,68
Tom Hanks,6.95,19941867,55
Leonardo DiCaprio,7.24,19841118,31
Hugh Jackman,7.05,19589941,33
Christian Bale,7.04,19328119,42
Robert De Niro,6.72,17770904,81
Willem Dafoe,6.72,16345047,67
Matt Damon,6.93,15801891,52
Jeremy Renner,7.24,15268058,22
Bruce Willis,6.03,15092578,78
Harrison Ford,6.86,14570530,45
Don Cheadle,6.99,14510333,32
Gary Oldman,6.72,14334393,48
Michael Caine,6.84,13892393,59
Ian McKellen,7.07,13859133,24
Tom Cruise,7.0,13533334,42
Johnny Depp,6.74,13465240,53
Ryan Reynolds,6.6,13388542,43
Tom Hardy,6.85,12989828,24
Natalie Portman,6.7,12979179,33
Chris Hemsworth,6.82,11992549,27
Woody Harrelson,6.6,11869905,55
Liam Neeson,6.4,11599910,64
Ben Affleck,6.4,11589151,45
Cillian Murphy,7.0,11451085,24
Keanu Reeves,6.5,11368563,55
Jennifer Lawrence,6.79,11084175,23
Paul Rudd,6.46,11078871,40
Orlando Bloom,7.16,11071438,18
Bradley Cooper,6.68,11068783,33
Andy Serkis,7.06,11043098,20
Edward Norton,7.07,10849261,29
Al Pacino,6.91,10682139,40
Ralph Fiennes,6.87,10636331,43
Laurence Fishburne,6.58,10585488,50
Chris Pratt,6.71,10530996,27
Jim Carrey,6.53,10477973,33
J.K. Simmons,6.62,10321230,46
Michael Fassbender,6.63,10227015,32
Jake Gyllenhaal,6.94,10215881,35
Cate Blanchett,6.83,10213131,45
Will Smith,6.57,10189903,32
Mark Wahlberg,6.41,10043644,54
Nicolas Cage,6.05,9956050,84
Anthony Hopkins,6.7,9955496,57
Jonah Hill,6.68,9955391,33
Russell Crowe,6.72,9791193,39
Chadwick Boseman,7.36,9783477,12
Kevin Spacey,6.86,9745021,40
Joseph Gordon-Levitt,6.73,9731416,35
Anthony Mackie,6.5,9323531,35
Matthew McConaughey,6.61,9274021,42
Sigourney Weaver,6.73,9220147,40
Zoe Saldaña,6.77,9181093,30
Ewan McGregor,6.65,9174558,51
Jamie Foxx,6.56,9143180,33
Amy Adams,6.65,9128195,35
Sebastian Stan,6.72,9123450,25
Tom Holland,7.18,9095771,15
Bill Murray,6.78,9043887,47
Elijah Wood,6.5,9010453,30
Anne Hathaway,6.38,8981869,34
Michael Keaton,6.6,8931690,36
Emma Stone,6.73,8836758,29
