genre,primaryTitle,total_episodes,rank
Action,Eat Bulaga,10270,1
Action,Thuis,3861,2
Action,Nintama Rantarô,2074,3
Adult,Hunters Lair,5805,1
Adult,Nubiles.Net,5288,2
Adult,Superbound,3658,3
Adventure,Bom Dia & Cia,7480,1
Adventure,3000 Whys of Blue Cat,2625,2
Adventure,Doraemon,2337,3
Animation,Unser Sandmännchen,9012,1
Animation,Bom Dia & Cia,7480,2
Animation,Mrs. Sazae,4799,3
Biography,Soft White Underbelly,1863,1
Biography,Balumama Chya Navan Chang Bhala,1847,2
Biography,Der Club,1485,3
Comedy,Eat Bulaga,10270,1
Comedy,The Price Is Right,10010,2
Comedy,The Tonight Show Starring Johnny Carson,9717,3
Crime,General Hospital,13939,1
Crime,Coronation Street,11122,2
Crime,Emmerdale Farm,10468,3
Documentary,Volle Kanne,5723,1
Documentary,Totally Wild,4724,2
Documentary,Inside Edition,4354,3
Drama,Days of Our Lives,15335,1
Drama,General Hospital,13939,2
Drama,The Young and the Restless,13557,3
Family,Eat Bulaga,10270,1
Family,The Price Is Right,10010,2
Family,Jeopardy!,9467,3
Fantasy,Jackanory,3583,1
Fantasy,The Friendly Giant,2990,2
Fantasy,Sasural Simar Ka,2027,3
Game-Show,The Price Is Right,10010,1
Game-Show,Jeopardy!,9467,2
Game-Show,Countdown,8549,3
History,Terra X - Rätsel alter Weltkulturen,2038,1
History,Jai Jai Swami Samarth,1742,2
History,Tenali Rama,990,3
Horror,Chiller Theater,1824,1
Horror,Creature Feature,1805,2
Horror,CoryxKenshin,1764,3
Music,ASAP,9687,1
Music,Late Show with David Letterman,6693,2
Music,The Tonight Show with Jay Leno,4642,3
Musical,ASAP,9687,1
Musical,That's Entertainment,3137,2
Musical,Sanders Shorts,2781,3
Mystery,All My Children,9705,1
Mystery,The Edge of Night,7318,2
Mystery,The Bill,2404,3
News,WCSH 6 News,26268,1
News,NRK Nyheter,18593,2
News,WGME News 13,14973,3
Reality-TV,See the World by Train,10674,1
Reality-TV,Judge Judy,7283,2
Reality-TV,Home Minister,5405,3
Romance,Days of Our Lives,15335,1
Romance,General Hospital,13939,2
Romance,The Young and the Restless,13557,3
Sci-Fi,Smosh,1203,1
Sci-Fi,Atop the Fourth Wall,860,2
Sci-Fi,InnerSpace,649,3
Short,Porta dos Fundos,1687,1
Short,La boîte à questions,1568,2
Short,UCB Comedy Originals,1529,3
Sport,The United Stand,9043,1
Sport,BYU Sports Nation,3768,2
Sport,ESPN College Football,3392,3
Talk-Show,Today,10614,1
Talk-Show,Charlie Rose,9988,2
Talk-Show,The Tonight Show Starring Johnny Carson,9717,3
Thriller,Malee,2718,1
Thriller,"Mujer, casos de la vida real",1760,2
Thriller,Tomorrow Is Ours,1611,3
War,Love in Difficult Times,1740,1
War,The Great War,641,2
War,Sankatmochan Mahabali Hanuman,631,3
Western,Gunsmoke,635,1
Western,Death Valley Days,452,2
Western,Bonanza,430,3
