seasonNumber,primaryTitle,runtimeMinutes,rank
1,80th 24 Hours of Le Mans,1440,1
2,81st 24 Hours of Le Mans,1440,1
3,Special: Mafia w prawdziwym zyciu 3,529,1
4,24 Hour Explosion Giveaway! Win Giftcards,1440,1
5,Every Challenge I've Ever Done,1428,1
6,"Saying Pewdiepie 100,000 Times",709,1
7,ROBLOX CLASSIC EVENT | Roblox Live,670,1
8,Infinity³,1096,1
9,"#CancelCancer LIVE w/ Game Theory + St. Jude (Ft. Markiplier, Try Guys, TheOdd1sOut, and MORE!)",586,1
10,Episode #10.204,240,1
11,"The Game Theory $1,000,000 Challenge for St. Jude! ft. MrBeast, Dream, Markiplier & more!",580,1
12,Everything Wrong With every Pixar Movie Ever,428,1
13,Episode #13.57,240,1
14,2016 Australian Grand Prix - Qualifying,509,1
15,2017 Australian Grand Prix - Qualifying,515,1
16,Glasgow 2014: BBC Three: Day 1: 14:00-19:00,304,1
17,The Smosh Yule Log,605,1
18,1984 in Film,301,1
19,1985 in Film,318,1
20,Football: CIF-SJS D-2 Playoff Quarterfinal - Sacramento Dragons vs. Del Campo Cougars,213,1
21,Le grand cabaret sur son 31 (2018),237,1
22,2020 Mnet Asian Music Awards,380,1
23,Tv Total Autoball WM 2022,300,1
24,Football: Inderkum Tigers vs Antelope Titans,208,1
25,TV total Turmspringen 2024,330,1
26,2021 ALCS Game 2: Boston Red Sox at Houston Astros,248,1
27,Football: De La Salle Spartans at Grant Pacers,224,1
28,Walt Disney - Part 1,221,1
29,Mitä Trumpin jättitulleista seuraa?,200,1
30,Saadaanko talouden jarrut tänä vuonna purettua?,200,1
31,2024-2025 National Football League Regular Season Week 9: New England Patriots at Tennessee Titans,199,1
32,2021 Major League Baseball American League Wild Card Game: New York Yankees at Boston Red Sox,193,1
33,The Finals - 1st Preliminary Final: Fremantle vs Hawthorn,259,1
34,Parsifal,265,1
35,Episode #35.7,150,1
36,Die Meistersinger von Nurnberg,266,1
37,Tannhauser,190,1
38,Third Round: Part 1,379,1
39,2015: Quarter-Final - Part 1,299,1
40,"2014: Day 5, Part 1",299,1
41,Round 1: Geelong vs Collingwood,279,1
42,"2014: Day 10, Part 1",355,1
43,"2015: Day 7, Part 2",299,1
44,"2016: Day 16, Part 2",328,1
45,La Forza del Destino,180,1
46,The Sound of Music,150,1
47,Round 21: Geelong vs Port Adelaide,180,1
48,"2020: Day 2, Part 4",140,1
49,Anything Goes,159,1
50,50 Jahre 3nach9 - Die Mutter aller Talkshows feiert Geburtstag,130,1
51,Week 16: Buffalo Bills at New England Patriots,171,1
52,Week 13: New England Patriots at Buffalo Bills,180,1
53,2022-2023 Regular Season Week 14: New England Patriots at Arizona Cardinals,184,1
54,2025/26: 4/3/26,91,1
55,2017-18: Borussia Dortmund vs Schalke 04 (11/25),90,1
56,Düsseldorf 2011: Grand Final,208,1
57,Baku 2012: Grand Final,204,1
58,Malmö 2013: Grand Final,195,1
59,Copenhagen 2014: Grand Final,215,1
60,Vienna 2015: Grand Final,239,1
61,Stockholm 2016: Grand Final,232,1
62,Round 18: Geelong vs Essendon,246,1
63,Round 16: Geelong vs Essendon,251,1
64,Tel Aviv 2019: Grand Final,251,1
65,Rotterdam 2021: Grand Final,191,1
66,Turin 2022: Grand Final,251,1
67,Liverpool 2023: Grand Final,255,1
68,Eurovision Song Contest Malmö 2024,236,1
69,Basel 2025: Grand Final,252,1
70,159th Boat Race,130,1
71,160th Boat Race,129,1
72,"2014: Day 7, Part 1",600,1
73,"2015: Day 7, Part 1",575,1
74,"2016: Day 4, Part 1",479,1
75,"2017: Day 7, Part 1",548,1
76,"2018: Day 6, Part 1",542,1
77,Episode #77.16,45,1
78,08-25-2024,60,1
79,Episode #79.14,60,1
80,2010-11: Málaga vs Barcelona (5/21),93,1
81,Grand Final,45,1
82,Episode #82.22,45,1
83,Looking to Get Away from NYC with a Place in Woodstock,22,1
84,Pedasi,21,1
85,Milan,21,1
86,2016-17: Real Madrid vs Espanyol (2/18),95,1
87,2017-18: Atlético Madrid vs Real Madrid (11/18),90,1
88,2018-19: Leganés vs Real Madrid (4/15),90,1
89,2019-20: Athletic Club vs Barcelona (8/16),900,1
90,2020-21: Real Betis vs Real Madrid (9/26),101,1
91,2021-22: Villarreal vs Barcelona (11/27),100,1
92,Ohio Couple Disagrees on Old Home vs. Brand New,22,1
93,2023-24: Osasuna vs Barcelona (9/3),102,1
94,Search for a Fairytale House in Las Vegas,22,1
95,"Comedy and Chaos in Phnom Penh, Cambodia",21,1
96,Meeting in the Middle in Munich,21,1
97,Jungle Life in Nosara,21,1
98,Opinions in Okazaki,30,1
99,Utah Family Seeks Home with Room for Soccer Field,22,1
100,Tight Budget and Big Dreams in Nashville,22,1
101,Looking for a Log Cabin Vacation Home in Lake Tahoe,22,1
102,"Chasing Warm Weather in Manly, Australia",21,1
103,Ships Ahoy in Amsterdam,21,1
104,Disagreeing in New York City,21,1
105,"Character vs. Cookie-Cutter in Columbus, OH",21,1
106,Texas College Professor and Wife Debate Midcentury Modern vs. Victorian,21,1
107,"Couple Looking for the Right Fit in Raleigh, NC",22,1
108,"Family of Four Looks to Spend the Holidays in Bethlehem, PA",22,1
109,Denver Transplants Look for Beautiful Downtown Views,21,1
110,Musicians Look for Home with Rehearsal Space in D.C. Suburbs,21,1
111,But Will the Sofa Fit?,21,1
112,L.A. Buyers Want to Trade Suburbs for Urban Core,21,1
113,Couple Looks for a Chicago Two-Flat,21,1
114,Malta Discovered,21,1
115,"Young Couple Disagrees on 1 or 2 Story in Vancouver, WA",21,1
116,Living the Dream in Da Nang,21,1
117,Hitting the Slopes in Chile,21,1
118,"Charmed by Sarlat, France",21,1
119,Beach Life Dream in Coronado,21,1
120,Victorian vs. New in Chicago,21,1
121,Location Jam in Amsterdam,21,1
122,Single-Family Homes vs. Townhomes in Atlanta,21,1
123,Seeking a Family Home in Philadelphia,21,1
124,Tulsa First-Time Buyers Tussle Over Everything,22,1
125,Disagreeing in Portland,22,1
126,Wanting a Victorian in WV,22,1
127,It's All About the Music in Colorado,21,1
128,A New Home for Parents-To-Be,21,1
129,"Mid-Century Glam in Chico, Calif.",22,1
130,"Picky Pair Picks a Place in Patchogue, NY",22,1
131,Cozy Cabin in California,22,1
132,Always Room for Improvement in Phoenix,22,1
133,"Connecticut, Here We Come",21,1
134,Baby's First Home in New Jersey,21,1
135,Eccentrics in Ohio,21,1
136,Going Bigger in Buffalo,21,1
137,Starting Over in Spokane,21,1
138,Moving On Up in Chicago,21,1
139,Seattle Couple Wants Home with Great Views,21,1
140,Connecting in New Zealand,21,1
141,Young Denver Transplants Seek Large Property in Atlanta,21,1
142,Flying the Coop in Texas,21,1
143,New Jersey Transplants Look for a Home in Pennsylvania,21,1
