startYear,primaryTitle,runtimeMinutes,rank
2026,Appalachian Jetsam,815,1
2026,Lemons,751,2
2026,Growth,587,3
2026,Black Lions: Roman Wolves,531,4
2026,Window,454,5
2025,Our First Day,1311,1
2025,The Schoenberg Effect: The Untold Story of Arnold Schoenberg's Musical Legacy,742,2
2025,Between These Times,620,3
2025,Otras Formas,474,4
2025,Good Boy,440,5
2024,L'Afrique aux Portes de Paris,1400,1
2024,exergue - on documenta 14,840,2
2024,Tendrils,799,3
2024,Ulysses,587,4
2024,Planetagatik,579,5
2023,The Man of Her Dreams,750,1
2023,The Good Doctor: Bac Si Hanh Phuc,680,2
2023,Phonetag,659,3
2023,Voyage au lac,634,4
2023,Grand theft auto 5 (The Movie),608,5
2022,Gondwana,1440,1
2022,Kahrlton Heights North,900,2
2022,Deskpop x Funny Rave Presents: Ridge Raver,720,3
2022,Fireside Reading of Dracula,565,4
2022,Fireside Reading of Black Beauty,447,5
2021,Constance,717,1
2021,Pathos Ethos Logos,641,2
2021,"The Last Phantom: The Phantom Chronicles, Book 1 (Audiobook)",492,3
2021,"The Spectacular Spider-Man Trilogy Responsibility, Repute and Requiem",480,4
2021,Greg and Lizz,396,5
2020,16 Hours of MILFS 3,960,1
2020,"Israel, the Forbidden Journey",669,2
2020,#monalisa,663,3
2020,Two-Bed,584,4
2020,Orbius,570,5
2019,The Innocence,1260,1
2019,48 War Movies,720,2
2019,I Watched TV Show and Died from Blood,719,3
2019,Sdsdsdsdsdsds,600,4
2019,Siege,502,5
2018,A Time to Stir,1320,1
2018,La Flor,808,2
2018,Raoul Wallenberg Tragic Hero or Agent 103?,720,3
2018,Wholy,660,4
2018,Final Call,619,5
2017,Bullfighting Memories,1100,1
2017,Europa: The Last Battle,746,2
2017,Fan,623,3
2017,Die Meistersinger von Nürnberg,495,4
2017,Baa Baa Land,481,5
2016,Sigur rós: Route One,1440,1
2016,Funusion,1440,2
2016,Pakistan: Education and Women,1184,3
2016,From Stage to Screen,900,4
2016,Chamisso's Shadow,720,5
2015,Testing Movie1,1234,1
2015,Breaking Yop,1151,2
2015,Singularity,780,3
2015,"Animitas, 2014",720,4
2015,Park Lanes,480,5
