primaryTitle,startYear,genres
The Killer's Game,2024,"Action,Comedy,Thriller"
Megalopolis,2024,"Drama,Fantasy,Sci-Fi"
Goodrich,2024,"Comedy,Drama"
The Girl with the Needle,2024,"Crime,Drama,History"
Joy,2024,"Biography,Drama,History"
Salem's Lot,2024,"Horror,Thriller"
Love & Vodka,2024,"Comedy,Romance"
Thelma the Unicorn,2024,"Adventure,Animation,Comedy"
Get Away,2024,"Comedy,Horror"
The Most Precious of Cargoes,2024,"Animation,Drama"
It Ends with Us,2024,"Drama,Romance"
Arthur the King,2024,"Adventure,Drama,Sport"
Boneyard,2024,"Action,Crime,Drama"
The Proud Princess,2024,"Adventure,Animation,Comedy"
And They Will Talk About Us,2024,Documentary
Madame Web,2024,"Action,Thriller"
The Snow Sister,2024,"Drama,Family"
Spaceman,2024,"Adventure,Drama,Romance"
IF,2024,"Animation,Comedy,Drama"
Grafted,2024,"Drama,Horror,Romance"
The Exorcism,2024,"Horror,Thriller"
Rebel Ridge,2024,"Action,Crime,Drama"
Joker: Folie à Deux,2024,"Drama,Musical,Thriller"
Kingdom of the Planet of the Apes,2024,"Action,Adventure,Drama"
Relay,2024,"Action,Drama,Thriller"
Breathe,2024,"Action,Sci-Fi,Thriller"
A Complete Unknown,2024,"Biography,Drama,Music"
The Outrun,2024,"Biography,Drama"
Mean Girls,2024,"Comedy,Musical"
Cellar Door,2024,"Drama,Horror,Mystery"
Furiosa: A Mad Max Saga,2024,"Action,Adventure,Sci-Fi"
We Work for the Dead,2024,"Fantasy,Thriller"
Cuckoo,2024,"Horror,Mystery,Thriller"
Hold Your Breath,2024,"Drama,Horror,Mystery"
Twisters,2024,"Action,Adventure,Thriller"
The Union,2024,"Action,Comedy,Thriller"
Wicked,2024,"Fantasy,Musical,Romance"
...and Juliet,2024,Documentary
CTRL,2024,"Drama,Thriller"
The Life of Chuck,2024,"Drama,Fantasy,Sci-Fi"
My Spy: The Eternal City,2024,"Action,Comedy"
Role Play,2024,"Action,Comedy,Romance"
Hitpig,2024,"Action,Adventure,Animation"
Mufasa: The Lion King,2024,"Adventure,Animation,Drama"
Uglies,2024,"Action,Adventure,Drama"
Mothers' Instinct,2024,"Drama,Thriller"
The Crow,2024,"Action,Crime,Fantasy"
A Quiet Place: Day One,2024,"Drama,Horror,Sci-Fi"
Damsel,2024,"Action,Adventure,Fantasy"
My Divorce Party,2024,Comedy
Rocky Road to Berlin,2024,Adventure
Panda Bear in Africa,2024,"Adventure,Animation,Comedy"
Moana 2,2024,"Adventure,Animation,Comedy"
Fight or Flight,2024,"Action,Comedy"
Bloodline Killer,2024,"Crime,Horror,Mystery"
Yasa,2024,Drama
Under Paris,2024,"Action,Horror,Sci-Fi"
Shirley,2024,"Biography,Drama,History"
Tarot,2024,Horror
The Last of the Sea Women,2024,Documentary
Bring Them Down,2024,"Drama,Thriller"
Wolfs,2024,"Comedy,Crime,Thriller"
Better Man,2024,"Biography,Fantasy,Music"
Apartment 7A,2024,"Horror,Thriller"
Lift,2024,"Action,Comedy,Crime"
Never Let Go,2024,"Horror,Mystery,Thriller"
Paradox Effect,2024,Action
Godzilla x Kong: The New Empire,2024,"Action,Adventure,Fantasy"
It's What's Inside,2024,"Comedy,Mystery,Sci-Fi"
Sweethearts,2024,Comedy
Code 8: Part II,2024,"Action,Crime,Drama"
Niko: Beyond the Northern Lights,2024,"Adventure,Animation,Family"
The Lord of the Rings: The War of the Rohirrim,2024,"Action,Adventure,Animation"
Players,2024,"Comedy,Romance"
That Christmas,2024,"Adventure,Animation,Comedy"
Atlas,2024,"Action,Adventure,Drama"
Time Cut,2024,"Horror,Mystery,Sci-Fi"
Blink Twice,2024,"Mystery,Thriller"
Unfrosted,2024,"Biography,Comedy,History"
Red One,2024,"Action,Adventure,Comedy"
I'm Still Here,2024,"Biography,Drama,History"
Shelby Oaks,2024,"Horror,Thriller"
Argylle,2024,"Action,Comedy,Thriller"
The Damned,2024,"Drama,Horror,Mystery"
Werewolves,2024,"Action,Horror,Sci-Fi"
Rez Ball,2024,"Drama,Sport"
Dune: Part Two,2024,"Action,Adventure,Drama"
The Beekeeper,2024,"Action,Crime,Thriller"
The Day the Earth Blew Up: A Looney Tunes Movie,2024,"Adventure,Animation,Comedy"
The Truck,2024,Drama
You Can't Run Forever,2024,"Drama,Horror,Thriller"
Maldoror,2024,"Crime,Drama,Thriller"
The Piano Lesson,2024,"Drama,Music"
Caddo Lake,2024,"Drama,Mystery,Sci-Fi"
I Saw the TV Glow,2024,"Drama,Horror,Mystery"
Don Zhuan iz Zhashkova,2024,Comedy
Blitz,2024,"Action,Drama,History"
Harold and the Purple Crayon,2024,"Adventure,Animation,Comedy"
Dissident,2024,Drama
Martha,2024,Documentary
Venom: The Last Dance,2024,"Action,Fantasy,Horror"
Challengers,2024,"Comedy,Drama,Romance"
Ricky Stanicky,2024,Comedy
Autumn and the Black Jaguar,2024,"Adventure,Comedy,Family"
Night Call,2024,"Action,Thriller"
The Fall Guy,2024,"Action,Comedy,Drama"
Dead Talents Society,2024,"Comedy,Horror,Thriller"
Wallace & Gromit: Vengeance Most Fowl,2024,"Adventure,Animation,Comedy"
Civil War,2024,"Action,Thriller,War"
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write about a Serial Killer,2024,"Crime,Horror,Mystery"
Zak & Wowo: The Legend of Lendarys,2024,"Adventure,Animation,Drama"
The Substance,2024,"Drama,Horror,Sci-Fi"
Bad Genius,2024,"Crime,Drama,Thriller"
The Friend,2024,"Comedy,Drama"
Cat and Dog,2024,Comedy
Turn Me On,2024,"Comedy,Romance,Sci-Fi"
Sonic the Hedgehog 3,2024,"Action,Adventure,Comedy"
Here,2024,Drama
Architecton,2024,Documentary
Alien: Romulus,2024,"Horror,Sci-Fi,Thriller"
My Old Ass,2024,"Comedy,Drama,Romance"
13th Summer,2024,Thriller
Fly Me to the Moon,2024,"Comedy,Romance"
Murder at Hollow Creek,2024,"Action,Comedy,Thriller"
Red Right Hand,2024,"Action,Thriller"
Drive-Away Dolls,2024,"Action,Comedy,Thriller"
Love Lies Bleeding,2024,"Crime,Drama,Mystery"
Sidelined: The QB and Me,2024,"Drama,Romance"
U Are the Universe,2024,"Comedy,Drama,Romance"
The Remarkable Life of Ibelin,2024,"Animation,Biography,Documentary"
Find Me Falling,2024,"Comedy,Music,Romance"
Land of Bad,2024,"Action,Thriller"
La Cocina,2024,"Drama,Romance"
American Star,2024,"Drama,Mystery,Thriller"
Canary Black,2024,"Action,Drama,Thriller"
Race for Glory: Audi vs. Lancia,2024,"Biography,Drama,Sport"
Sting,2024,"Comedy,Horror,Sci-Fi"
Lonely Planet,2024,"Drama,Romance"
Alienoid: The Return to the Future,2024,"Action,Fantasy,Sci-Fi"
Greedy People,2024,"Comedy,Crime,Thriller"
The Shrouds,2024,"Drama,Horror,Sci-Fi"
Conclave,2024,"Drama,Thriller"
