tconst,primaryTitle,titleId,translationCount
tt0088814,The Black Cauldron,tt0088814,251
tt0407304,War of the Worlds,tt0407304,203
tt1077274,"Yobi, the Five Tailed Fox",tt1077274,178
tt2872750,Shaun the Sheep Movie,tt2872750,149
tt0099785,Home Alone,tt0099785,148
tt0104431,Home Alone 2: Lost in New York,tt0104431,137
tt0076759,Star Wars: Episode IV - A New Hope,tt0076759,137
tt1067106,A Christmas Carol,tt1067106,128
tt0268996,Secret Tears,tt0268996,120
tt0103064,Terminator 2: Judgment Day,tt0103064,112
