primaryTitle,startYear,averageRating,numVotes
My boyfriends daddy is my man,2022,10.0,6
Gauri,1963,9.9,17
Blind Surfer with Pete Gustin,2020,9.9,12
Committed to the Craft,2022,9.9,16
La Lucha: Getting Schooled in America,2023,9.9,62
The Golden Hours,2025,9.9,9
Dance for Your Life,2026,9.9,61
I Forced an AI to Play a Kids Adventure Game,2023,9.9,475
Racquel Untamed,1990,9.8,10
Csonka Bereg,1989,9.8,6
Freedom Had a Price,1994,9.8,7
Gottzfart,1994,9.8,8
One Ten: Two Forty,1993,9.8,8
Bursa senfonisi,1934,9.8,8
Big Bones - Big Business,2004,9.8,12
Desh Devi,2002,9.8,15
Weirdo: The Story of Five Eight,2024,9.8,10
Apoteose,2009,9.8,88
Buried in Tucson,2007,9.8,19
Venice Carnival Unmasked,2019,9.8,7
Marineros,2019,9.8,6
Africa Uncensored,2019,9.8,7
My Father's Daughter,2002,9.8,15
Strade interrotte,2021,9.8,16
The Choice of Staying,2020,9.8,60
Almost an Island,2021,9.8,10
The Making of Liberty,1986,9.8,9
Possible Selves,2022,9.8,35
Budapest to Gettysburg,2007,9.8,9
What Happened at the Veterans Home?,2021,9.8,11
The Son,2021,9.8,46
The Trees of the East,2018,9.8,20
Fishmans: Otokotachi no Wakare 98.12.28 @ Akasaka Blitz,2005,9.8,99
Freedom Street,2022,9.8,10
Rajdrohi Rajneta,2022,9.8,10
Part-Time,1996,9.8,6
The Wired Prut,2011,9.8,7
Carnaval Devoto,2015,9.8,8
Streets of Flamenco,2021,9.8,8
Complicated,2025,9.8,88
Dandgi Muley,2012,9.8,41
Live in Relation,2022,9.8,86
Pelkie: 100 Years of Finnishness in Michigan's Upper Peninsula.,2019,9.8,21
Pelas estradas do teatro levando cidadania,2014,9.8,7
Griôs,2023,9.8,8
Prince Oak Oakleyski: Eurasia Handsome Sovereign,2022,9.8,76
Ignite Your Love,2021,9.8,6
Big Ass Bhabhi,2022,9.8,7
Friends and Flatmates,2024,9.8,5
Endless Light,2022,9.8,19
A Nineteenth-century Photographer's Legacy,2022,9.8,20
Il custode della memoria,2022,9.8,32
Squirting MILFs,2022,9.8,8
Groupe de protection des Mineurs,2022,9.8,6
Limpa ja unemaailm,2023,9.8,8
Melges: The Wizard of Zenda,2023,9.8,23
The Order of Things,2022,9.8,11
Buddha by Nature,2012,9.8,6
Reggae Girlz,2025,9.8,6
Come pesci nell'acqua,2024,9.8,98
A Place to Call His Own,2013,9.8,17
Where the Rope Ends,2023,9.8,19
Zen Comedy,2023,9.8,31
Kamarati,2011,9.8,19
Chaos Dragon and the Light,2023,9.8,15
American Sons,2025,9.8,16
Babymetal: Legend - Metal Galaxy,2020,9.8,12
Megas afsakið meðanað ég æli,2023,9.8,13
Survivors Speak: Domestic Abuse and the Legal System,2024,9.8,15
The Dirty Gerund Poetry Show,2024,9.8,13
Sick-Amour: A Love Story,2024,9.8,6
A Thousand Forests,2024,9.8,6
Chingos,2023,9.8,7
"Islande, Sur les Traces de la Démocratie",2024,9.8,16
Siege at Nune High,2024,9.8,17
It's A to Z: The Art of Arleen Schloss,2024,9.8,11
Hassanovi Ratovi,2024,9.8,21
Agamemnon,2025,9.8,10
Transcending Surgeon,2014,9.8,7
La dea risorta,2022,9.8,21
Patchwork Family,2024,9.8,8
Tóxico Narcisista,2024,9.8,6
Ghosts of Texas: Galveston,2026,9.8,16
Out the Game,2025,9.8,135
Journeyman,2025,9.8,14
Archyvu detektyvas,2025,9.8,10
Rangi,2025,9.8,6
Anschlag aus dem Schwitzerreich,2026,9.8,5
For Such a Time as This,2025,9.8,74
Uma Chamada Furry,2025,9.8,6
Em Queda-Livre,2024,9.8,41
Quantum Qi,2025,9.8,75
Six of a Kind,2025,9.8,16
The Man in the Red Beret,2023,9.8,13
The Next Right Thing,2025,9.8,54
Toren: Back to Roots,2025,9.8,6
Ik Tere Kar K,2025,9.8,5
Daniel Ho: Life as an Audition,2025,9.8,9
Bankie Banx: King of the Dune,2024,9.8,36
A Fighting Legacy,2025,9.8,97
Children of Yamato,2025,9.8,5
Super-Yusuf,2025,9.8,6
TOTS (Tricked Out the Streets),2025,9.8,27
Legacy: The Fifty State Story of Letters from Home,2025,9.8,13
Queen Mary 2: The Last Great Ocean Liner,2025,9.8,7
Conversas nas Zonas Azuis,2025,9.8,5
Legado Negado: a escravidão no Brasil em um guia incorreto,2019,9.8,6
96 Pounds of Dynamite,2026,9.8,38
True Stories of Faith and Redemption,2026,9.8,9
A Road at Night,2026,9.8,7
Romeo + Julia,2014,9.8,17
You Have His Eyes,2014,9.8,11
Bringing the Fallen Home,2014,9.8,8
Silhouette Secrets,2015,9.8,9
La pas prin Bucuresti,2015,9.8,5
Institutionalized,2015,9.8,9
Wrestling Alligators,2016,9.8,14
Sobre tus huellas,2018,9.8,7
L'ultimo sparviero,2016,9.8,9
Dalla Regia Marina alla Decima Mas,2017,9.8,9
Code of Revelation,2017,9.8,10
Anna und Herr Goethe,2021,9.8,5
Ikaw lang ang mamahalin: Camiguin,1995,9.8,10
hitched,2017,9.8,10
Man's Game,2026,9.8,10
Shatter the Silence,2019,9.8,16
Mr. Texas,1951,9.8,10
Parto,2010,9.8,88
O Lar,2008,9.8,79
Yeshurun in 6 Chapters,2018,9.8,8
Anything You Lose,2019,9.8,7
Looking For A Heart Of Gold,2022,9.8,8
The Importance of Being Earnest,1932,9.7,11
Fenomenat,1976,9.7,8
Battleship Texas: The Lone Star Ship,2001,9.7,12
Illusory Thoughts,1989,9.7,393
Köroglu-Türkan Sultan,1953,9.7,10
The People's Story,2000,9.7,24
But What Was She Wearing?,2018,9.7,9
Baldy for the Blind,2024,9.7,55
Tukso,2007,9.7,10
Space Chasers,2025,9.7,54
Witness at Tornillo,2019,9.7,15
Mancation,2020,9.7,10
Main Bhi NRI,2020,9.7,10
Erik,2020,9.7,18
The Story of Your Life,2008,9.7,141
A Better Life,2020,9.7,66
Akujo no irojikake: Kamotte kaikan!,2020,9.7,11
Caution! Heartache Ahead,2009,9.7,13
