genre,primaryTitle,averageRating,numVotes
Action,The Dark Knight,9.1,3161863
Adventure,Attack on Titan: The Last Attack,9.1,27414
Animation,Attack on Titan: The Last Attack,9.1,27414
Biography,Schindler's List,9.0,1583382
Comedy,The Chaos Class,9.1,46127
Crime,The Godfather,9.2,2222766
Documentary,David Attenborough: A Life on Our Planet,8.9,36054
Drama,The Shawshank Redemption,9.3,3182597
Family,#Home,8.7,19624
Fantasy,The Lord of the Rings: The Return of the King,9.0,2161473
Film-Noir,Sunset Boulevard,8.4,260916
History,Schindler's List,9.0,1583382
Horror,Manichithrathazhu,8.7,14326
Music,Stop Making Sense,8.7,24070
Musical,The Phantom of the Opera at the Royal Albert Hall,8.8,10825
Mystery,Mirror Game,8.9,30968
News,Before the Flood,8.2,29649
Romance,Forrest Gump,8.8,2492459
Sci-Fi,Inception,8.8,2811565
Sport,Sarpatta Parambarai,8.5,28554
Thriller,Mirror Game,8.9,30968
War,Shoah,8.7,11578
Western,"The Good, the Bad and the Ugly",8.8,890284
