primaryTitle,runtimeMinutes,averageRating
The Godfather Part II,202,9.0
The Lord of the Rings: The Return of the King,201,9.0
Schindler's List,195,9.0
O.J.: Made in America,467,8.9
The Message,207,8.9
Kill Bill: The Whole Bloody Affair,253,8.8
Shoah,566,8.7
Seven Samurai,207,8.6
The Green Mile,189,8.6
Dhurandhar: The Revenge,235,8.5
The Human Condition I: No Greater Love,208,8.5
The Best of Youth,374,8.4
Guide,183,8.4
Anniyan,181,8.4
Avengers: Endgame,181,8.4
Once Upon a Time in America,229,8.3
Lawrence of Arabia,227,8.3
Dhurandhar,214,8.3
Children of Paradise,189,8.3
Red Beard,185,8.3
Satantango,439,8.2
Gangs of Wasseypur,321,8.2
Gone with the Wind,238,8.2
A Brighter Summer Day,237,8.2
Swades,189,8.2
Bhaag Milkha Bhaag,186,8.2
The Wolf of Wall Street,180,8.2
Oppenheimer,180,8.2
Lagaan: Once Upon a Time in India,224,8.1
Ben-Hur,212,8.1
George Harrison: Living in the Material World,208,8.1
Fanny and Alexander,188,8.1
Barry Lyndon,185,8.1
Indian,185,8.1
Woodstock,184,8.1
The Deer Hunter,183,8.1
Love Exposure,237,8.0
Andrei Rublev,205,8.0
Winter Sleep,196,8.0
Titanic,194,8.0
Gandhi,191,8.0
JFK,189,8.0
Magnolia,188,8.0
The Wild Pear Tree,188,8.0
Hey Ram,186,8.0
M.S. Dhoni: The Untold Story,184,8.0
Dil Chahta Hai,183,8.0
Fiddler on the Roof,181,8.0
Dances with Wolves,181,8.0
Dilwale Dulhania Le Jayenge,181,8.0
Zack Snyder's Justice League,242,7.9
The Ten Commandments,220,7.9
Doctor Zhivago,197,7.9
BTS Permission to Dance on Stage - Seoul: Live Viewing,195,7.9
The Leopard,186,7.9
Kal Ho Naa Ho,186,7.9
Spartacus,184,7.9
Kwaidan,183,7.9
Arjun Reddy,182,7.9
Maidaan,181,7.9
"Blood In, Blood Out",180,7.9
The Irishman,209,7.8
The Right Stuff,193,7.8
Veer Zaara,192,7.8
Nanban,188,7.8
Nayak: The Real Hero,187,7.8
RRR,187,7.8
Lakshya,186,7.8
Hamlet,242,7.7
Malcolm X,202,7.7
About Dry Grasses,197,7.7
Never Look Away,189,7.7
1900,317,7.6
Gettysburg,254,7.6
Intolerance,210,7.6
Giant,201,7.6
Short Cuts,188,7.6
Sivaji,188,7.6
Devdas,185,7.6
The Barber of Siberia,180,7.6
Blue Is the Warmest Colour,180,7.6
La belle noiseuse,238,7.5
Jodhaa Akbar,213,7.5
"It's a Mad, Mad, Mad, Mad World",210,7.5
Kabhi Khushi Kabhie Gham...,210,7.5
Hum Aapke Hain Koun..!,206,7.5
Killers of the Flower Moon,206,7.5
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",202,7.5
Avatar: The Way of Water,192,7.5
Grindhouse,191,7.5
Kuch Kuch Hota Hai,185,7.5
The Sand Pebbles,182,7.5
Ryan's Daughter,200,7.4
Straight from the Heart,188,7.4
I,188,7.4
Ghajini,186,7.4
Sunshine,181,7.4
Baghban,181,7.4
The Diary of Anne Frank,180,7.4
Avatar: Fire and Ash,197,7.3
Reds,195,7.3
Maine Pyar Kiya,192,7.3
Dasavatharam,188,7.3
Tess,186,7.3
The Brutalist,216,7.2
King Kong,187,7.2
El Cid,182,7.2
Mohabbatein,216,7.1
Babylon,189,7.1
Main Hoon Na,182,7.1
Cleopatra,320,7.0
Nixon,192,7.0
Dil To Pagal Hai,180,7.0
Kalki 2898 AD,180,7.0
The Bengal Files,200,6.9
Pardes,191,6.9
Inland Empire,180,6.8
Heaven's Gate,219,6.7
War and Peace,208,6.7
Exodus,208,6.7
Wyatt Earp,191,6.7
The Fall of the Roman Empire,188,6.7
The Greatest Story Ever Told,260,6.6
Horizon: An American Saga - Chapter 1,181,6.6
Asoka,180,6.4
Pearl Harbor,183,6.3
Gods and Generals,219,6.2
Animal,204,6.2
Border 2,200,6.2
Jilla,185,6.2
The Birth of a Nation,195,6.1
Kabhi Alvida Naa Kehna,193,6.1
Velayudham,186,6.1
Pushpa: The Rule - Part 2,201,6.0
Cobra,183,6.0
MSG: The Messenger of God,197,5.8
The Greatest of All Time,183,5.7
Happy New Year,180,5.0
Kannappa,183,4.6
The Raja Saab,190,3.1
