genre,era,avgRating
Action,Classic,6.84
Action,Modern,6.12
Adult,Classic,5.0
Adventure,Classic,6.92
Adventure,Modern,6.27
Animation,Classic,7.07
Animation,Modern,6.74
Biography,Classic,7.43
Biography,Modern,6.91
Comedy,Classic,7.13
Comedy,Modern,6.23
Crime,Classic,7.19
Crime,Modern,6.31
Documentary,Classic,7.64
Documentary,Modern,7.28
Drama,Classic,7.3
Drama,Modern,6.47
Family,Classic,6.97
Family,Modern,6.41
Fantasy,Classic,6.84
Fantasy,Modern,6.15
Film-Noir,Classic,7.34
History,Classic,7.38
History,Modern,6.84
Horror,Classic,6.42
Horror,Modern,5.64
Music,Classic,7.3
Music,Modern,6.84
Musical,Classic,7.13
Musical,Modern,6.35
Mystery,Classic,7.1
Mystery,Modern,5.97
News,Modern,8.2
Romance,Classic,7.3
Romance,Modern,6.28
Sci-Fi,Classic,6.29
Sci-Fi,Modern,5.8
Sport,Classic,7.14
Sport,Modern,6.86
Thriller,Classic,7.07
Thriller,Modern,5.97
War,Classic,7.44
War,Modern,6.78
Western,Classic,7.12
Western,Modern,6.29
